iter	Logloss
0	0.5821017422
1	0.5049261394
2	0.439924278
3	0.3992885179
4	0.3677106137
5	0.3454488312
6	0.3293472886
7	0.3190686475
8	0.3093520525
9	0.3025740244
10	0.2970435424
11	0.2915424391
12	0.2889308724
13	0.2854633752
14	0.2834226412
15	0.281625892
16	0.2796870011
17	0.2778155589
18	0.2763780464
19	0.2757192419
20	0.2747122998
21	0.2739062928
22	0.2726863637
23	0.2719108709
24	0.2712974714
25	0.2708520768
26	0.2697526589
27	0.2690816928
28	0.2687147017
29	0.2684091892
30	0.2679306617
31	0.2676497836
32	0.2669314224
33	0.2664452246
34	0.2658480873
35	0.2652563946
36	0.2649783428
37	0.2646163777
38	0.2642360365
39	0.263992105
40	0.263936258
41	0.2637655096
42	0.2635461574
43	0.2634013468
44	0.2630189497
45	0.2627992064
46	0.262648328
47	0.2624817634
48	0.2622786252
49	0.2620596522
50	0.2615707041
51	0.2612304113
52	0.2610378984
53	0.2609148057
54	0.2606990715
55	0.2605839362
56	0.2604724166
57	0.260389165
58	0.2601980218
59	0.2600551576
60	0.2598938931
61	0.2597353852
62	0.2595505584
63	0.2593945539
64	0.2592033675
65	0.2590088171
66	0.2587408601
67	0.2584492664
68	0.2581515647
69	0.2580840479
70	0.2579777117
71	0.2578810378
72	0.2577827067
73	0.2576306434
74	0.2572918376
75	0.2571600674
76	0.2570605533
77	0.2569254424
78	0.256696105
79	0.2564874992
80	0.2563216387
81	0.2561900671
82	0.2561033781
83	0.2559630386
84	0.2557545686
85	0.2556175584
86	0.255415775
87	0.2552463244
88	0.2549944639
89	0.254816337
90	0.2546093327
91	0.2544413741
92	0.2542845287
93	0.2541244785
94	0.2540009848
95	0.2538288892
96	0.2537200067
97	0.2535792948
98	0.2534320038
99	0.2533199109
100	0.2530720552
101	0.2529557088
102	0.252790787
103	0.2526149911
104	0.2524044557
105	0.2522490606
106	0.2521141741
107	0.251896779
108	0.2517595956
109	0.2516179402
110	0.2514352424
111	0.2512984923
112	0.2511147835
113	0.2509117951
114	0.2507873954
115	0.2506627216
116	0.2505612254
117	0.2504202774
118	0.2503308981
119	0.2502264935
120	0.2500801383
121	0.2498826248
122	0.2497997188
123	0.24968563
124	0.2495342198
125	0.2493884132
126	0.2492789357
127	0.2491118557
128	0.2489458825
129	0.2488803808
130	0.248772878
131	0.2486067129
132	0.2484751074
133	0.2484036132
134	0.2482712129
135	0.2481453219
136	0.2480174849
137	0.2478906963
138	0.2477807824
139	0.2477260344
140	0.2475855143
141	0.2474820032
142	0.2473726486
143	0.2473103051
144	0.2471287098
145	0.2470684374
146	0.2469627269
147	0.2468178336
148	0.2467399313
149	0.2466746415
150	0.2465380773
151	0.2464501371
152	0.2463379634
153	0.2462698593
154	0.2461611649
155	0.246017831
156	0.2459621258
157	0.2458945995
158	0.2457738572
159	0.2456961894
160	0.2455523222
161	0.2454235328
162	0.245287472
163	0.2451642411
164	0.2450213204
165	0.2448506283
166	0.2447643267
167	0.2446619951
168	0.2445304639
169	0.2443602809
170	0.2441605733
171	0.2440684898
172	0.2440384233
173	0.2440003515
174	0.2438381246
175	0.2437122494
176	0.2436149012
177	0.2434930467
178	0.2433214035
179	0.243237849
180	0.2431241829
181	0.2429853796
182	0.2428717386
183	0.2427209891
184	0.2426047522
185	0.2424971419
186	0.2423339519
187	0.2422135654
188	0.2421370591
189	0.2420260724
190	0.2419245549
191	0.241858186
192	0.2416996936
193	0.2416073533
194	0.2414960166
195	0.2414472897
196	0.2413934906
197	0.2413316527
198	0.241178732
199	0.2410712267
200	0.2409741453
201	0.2408524301
202	0.2407937586
203	0.2407133773
204	0.2406432865
205	0.2405605037
206	0.2403796148
207	0.2402599967
208	0.2402273631
209	0.2400731748
210	0.2400334333
211	0.239894864
212	0.2398080566
213	0.2396298158
214	0.239507336
215	0.2394831624
216	0.2393978594
217	0.2392897813
218	0.2392090424
219	0.2390758382
220	0.2389934462
221	0.2389377242
222	0.2388099592
223	0.2386642999
224	0.238535567
225	0.2384839728
226	0.2384093992
227	0.2383066903
228	0.2382424362
229	0.2381138845
230	0.2380290694
231	0.2379522885
232	0.2378210093
233	0.2378108465
234	0.2377819136
235	0.2376358511
236	0.2375219673
237	0.2374235249
238	0.2372893074
239	0.2371435581
240	0.2370624752
241	0.2369892131
242	0.2368753578
243	0.2368065097
244	0.2366889341
245	0.2366467867
246	0.2365401811
247	0.2365163522
248	0.2363875097
249	0.2363268455
250	0.2363122925
251	0.2362273636
252	0.2362159688
253	0.2361347205
254	0.23601307
255	0.2359127779
256	0.2358187074
257	0.2357345451
258	0.2356664296
259	0.2356076346
260	0.2354933324
261	0.2353976899
262	0.2352583897
263	0.23517232
264	0.2350629266
265	0.2349893292
266	0.2348407533
267	0.2346963473
268	0.2346736876
269	0.234591296
270	0.2345368104
271	0.2344813098
272	0.2343976763
273	0.2342840326
274	0.2341639475
275	0.2341217272
276	0.2340732339
277	0.2340107451
278	0.2339390968
279	0.2338670461
280	0.2337629255
281	0.2336650536
282	0.233529002
283	0.2334172181
284	0.2333803464
285	0.2333082115
286	0.2332162135
287	0.2331739305
288	0.2330780815
289	0.2329327325
290	0.2328443889
291	0.2327491667
292	0.2326553929
293	0.2325746432
294	0.2325127415
295	0.2324107432
296	0.232377451
297	0.2322966001
298	0.2321476089
299	0.232113056
300	0.2320259128
